"bez";"spr";"spr24"
23;"23064";"23064"
11;"11002";"11002"
15;"15021";"15021"
11;"11028";"11028"
18;"18001";"18001"
21;"21032";"21032"
3;"03001";"03001"
22;"22067";"22067"
2;"02003";"02003"
18;"18026";"18026"
10;"10035";"10035"
11;"11075";"11075"
10;"10134";"10134"
1;"01006";"01009"
21;"21103";"21103"
2;"02001";"02001"
17;"17004";"17004"
20;"20050";"20050"
22;"22143";"22143"
22;"22035";"22020"
5;"05001";"05001"
5;"05037";"05037"
11;"11001";"11001"
10;"10024";"10024"
16;"16043";"16043"
13;"13041";"13031"
18;"18007";"18007"
2;"02065";"02065"
11;"11031";"11031"
3;"03022";"03072"
14;"14010";"14017"
10;"10083";"10083"
16;"16058";"16058"
13;"13031";"13037"
22;"22050";"22050"
16;"16048";"16048"
10;"10010";"10012"
23;"23100";"23100"
21;"21106";"21106"
11;"11052";"11052"
13;"13021";"13005"
10;"10027";"10027"
14;"14060";"14065"
9;"09033";"09033"
21;"21066";"21066"
22;"22096";"22096"
22;"22132";"22132"
19;"19004";"19004"
23;"23103";"23103"
15;"15006";"15006"
16;"16016";"16016"
23;"23011";"23011"
15;"15035";"15035"
10;"10096";"10096"
9;"09011";"09011"
10;"10054";"10054"
16;"16005";"16005"
4;"04007";"04007"
21;"21026";"21026"
22;"22130";"22130"
15;"15044";"15044"
12;"12040";"12040"
22;"22099";"22099"
10;"10109";"10109"
8;"08009";"08009"
17;"17023";"17023"
12;"12053";"12053"
6;"06026";"06026"
2;"02067";"02067"
10;"10091";"10092"
14;"14071";"14045"
21;"21083";"21083"
3;"03040";"03040"
22;"22094";"22094"
3;"03044";"03044"
15;"15008";"15008"
21;"21011";"21011"
10;"10042";"10042"
21;"21117";"21117"
4;"04003";"04003"
19;"19014";"19014"
10;"10114";"10114"
21;"21014";"21014"
22;"22148";"22148"
17;"17020";"17020"
17;"17026";"17026"
23;"23051";"23051"
3;"03066";"03066"
15;"15013";"15013"
10;"10053";"10053"
20;"20047";"20047"
11;"11044";"11044"
22;"22127";"22127"
2;"02018";"02018"
3;"03048";"03048"
15;"15001";"15001"
16;"16032";"16032"
21;"21015";"21015"
12;"12023";"12023"
20;"20007";"20007"
21;"21107";"21107"
15;"15030";"15030"
23;"23046";"23104"
10;"10033";"10033"
3;"03004";"03004"
10;"10132";"10132"
2;"02024";"02024"
14;"14064";"14067"
21;"21102";"21102"
22;"22105";"22105"
5;"05014";"05014"
14;"14015";"14022"
22;"22025";"22025"
2;"02009";"02009"
16;"16029";"16029"
17;"17001";"17001"
13;"13020";"13021"
22;"22013";"22013"
7;"07015";"07015"
19;"19051";"19051"
3;"03058";"03058"
14;"14002";"14002"
7;"07027";"07014"
5;"05017";"05017"
10;"10048";"10048"
21;"21024";"21024"
18;"18022";"18022"
22;"22144";"22144"
15;"15011";"15011"
22;"22057";"22057"
14;"14073";"14070"
20;"20058";"20058"
4;"04021";"04024"
10;"10064";"10064"
11;"11069";"11069"
12;"12014";"12014"
14;"14013";"14020"
2;"02042";"02042"
9;"09020";"09020"
1;"01013";"01012"
2;"02002";"02002"
3;"03012";"03012"
22;"22079";"22079"
21;"21021";"21021"
19;"19046";"19046"
3;"03008";"03008"
3;"03065";"03065"
23;"23002";"23002"
11;"11020";"11020"
22;"22149";"22149"
10;"10032";"10031"
18;"18025";"18025"
11;"11012";"11012"
7;"07001";"07001"
12;"12026";"12026"
10;"10044";"10044"
13;"13018";"13019"
3;"03027";"03027"
20;"20020";"20020"
10;"10071";"10071"
10;"10074";"10074"
2;"02056";"02056"
22;"22091";"22091"
5;"05021";"05021"
3;"03046";"03046"
22;"22018";"22018"
14;"14067";"14072"
16;"16078";"16024"
20;"20038";"20038"
11;"11041";"11041"
10;"10118";"10118"
14;"14009";"14007"
10;"10121";"10121"
21;"21052";"21052"
10;"10100";"10100"
10;"10016";"10016"
18;"18012";"18012"
12;"12017";"12016"
12;"12010";"12010"
19;"19024";"19024"
1;"01003";"01003"
3;"03064";"03064"
11;"11025";"11025"
23;"23034";"23034"
11;"11032";"11032"
19;"19001";"19001"
20;"20042";"20042"
18;"18018";"18018"
21;"21012";"21012"
15;"15023";"15023"
14;"14042";"14055"
19;"19022";"19022"
10;"10138";"10138"
6;"06004";"06004"
10;"10082";"10082"
23;"23082";"23082"
1;"01008";"01007"
10;"10092";"10092"
21;"21019";"21019"
2;"02033";"02033"
16;"16054";"16054"
9;"09023";"09023"
7;"07024";"07024"
11;"11021";"11021"
19;"19041";"19041"
22;"22080";"22080"
23;"23059";"23059"
10;"10001";"10001"
18;"18031";"18040"
16;"16020";"16020"
10;"10039";"10042"
2;"02021";"02021"
2;"02026";"02026"
10;"10015";"10015"
20;"20009";"20009"
21;"21109";"21109"
21;"21031";"21031"
10;"10006";"10006"
23;"23019";"23019"
16;"16022";"16022"
9;"09014";"09014"
21;"21067";"21067"
21;"21001";"21001"
6;"06023";"06023"
12;"12018";"12018"
22;"22053";"22053"
22;"22074";"22074"
23;"23078";"23078"
12;"12022";"12022"
12;"12030";"12030"
11;"11003";"11003"
17;"17009";"17009"
18;"18028";"18028"
1;"01001";"01001"
20;"20056";"20056"
1;"01012";"01011"
13;"13019";"13020"
10;"10116";"10116"
8;"08010";"08010"
2;"02047";"02047"
22;"22029";"22029"
10;"10131";"10131"
16;"16074";"16074"
10;"10069";"10069"
14;"14025";"14024"
23;"23049";"23049"
20;"20052";"20052"
3;"03015";"03015"
10;"10043";"10043"
21;"21104";"21104"
19;"19042";"19042"
19;"19019";"19019"
11;"11005";"11005"
21;"21027";"21027"
3;"03029";"03029"
16;"16050";"16050"
22;"22020";"22023"
23;"23093";"23093"
18;"18009";"18009"
21;"21007";"21007"
8;"08008";"08008"
14;"14007";"14005"
16;"16060";"16060"
2;"02032";"02032"
21;"21092";"21092"
4;"04010";"04026"
3;"03030";"03030"
10;"10123";"10123"
16;"16035";"16035"
2;"02050";"02050"
18;"18006";"18006"
17;"17033";"17033"
23;"23018";"23018"
14;"14041";"14054"
12;"12019";"12019"
21;"21042";"21042"
21;"21098";"21132"
10;"10017";"10017"
3;"03062";"03062"
22;"22070";"22070"
16;"16021";"16021"
1;"01010";"01014"
22;"22017";"22017"
10;"10129";"10129"
6;"06028";"06028"
2;"02004";"02004"
11;"11016";"11016"
15;"15015";"15015"
10;"10007";"10007"
5;"05036";"05036"
13;"13016";"13017"
17;"17008";"17008"
12;"12016";"12016"
12;"12065";"12065"
